Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Country
spotify:track:3RvdkNMcSy71m0aT6UF9Uf,水平線,spotify:artist:6rs1KAoQnFalSqSU4LTh8g,back number,spotify:album:4Owee1i5rIFJvQczZXSdiQ,ユーモア,spotify:artist:6rs1KAoQnFalSqSU4LTh8g,back number,1/17/2023,https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,1,12,288013,https://p.scdn.co/mp3-preview/6ea4d0c5bd74d283fe47a5392bc29c8625c4e653?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,JPPO02100907,spotify:user:,2023-04-06T09:41:34Z,0.424,0.761,10,-3.526,1,0.0305,0.0103,0,0.145,0.424,145.816,4,JP
spotify:track:34ayWAUrQcrjlKZOJAzqke,アイラブユー,spotify:artist:6rs1KAoQnFalSqSU4LTh8g,back number,spotify:album:4Owee1i5rIFJvQczZXSdiQ,ユーモア,spotify:artist:6rs1KAoQnFalSqSU4LTh8g,back number,1/17/2023,https://i.scdn.co/image/ab67616d0000b273fd363d834b815375814ae78e,1,3,235693,https://p.scdn.co/mp3-preview/4ef9701e20d1ecf7dd851f63828ae7b67a40d0c1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,JPPO02202786,spotify:user:,2023-04-06T09:41:34Z,0.483,0.629,1,-3.408,1,0.0276,0.288,0,0.143,0.459,77.968,4,JP
spotify:track:28MATCYDctW5EiBa2repxb,新時代,spotify:artist:6mEQK9m2krja6X1cfsAjfl,Ado,spotify:album:5WStsinR0ZOQRoCI6rQPZA,ウタの歌 ONE PIECE FILM RED,spotify:artist:6mEQK9m2krja6X1cfsAjfl,Ado,8/9/2022,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,1,1,226813,https://p.scdn.co/mp3-preview/296247f664faff17e818f6333a021371f06b9f38?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,JPPO02201806,spotify:user:,2023-04-06T09:41:34Z,0.49,0.987,7,-2.279,1,0.253,0.049,0.00000324,0.406,0.451,175.064,4,JP
spotify:track:6O4twzzHHIM6mmTqPpJNYE,Soranji,spotify:artist:4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,spotify:album:62yXiiuhWiIwgurRnXC16V,Soranji,spotify:artist:4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,10/18/2022,https://i.scdn.co/image/ab67616d0000b273096bd9cb2f36c6e918ecc122,1,1,341443,https://p.scdn.co/mp3-preview/b431a1738ed5f495f15ea1e6b4c54faf59f58df3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,JPPO02203986,spotify:user:,2023-04-06T09:41:34Z,0.476,0.661,5,-5.197,1,0.044,0.0604,0,0.144,0.406,156.057,4,JP
spotify:track:6MXlv5l2I2BRa9pO38dE1a,フライデー・ナイト,spotify:artist:6WmXWHmfBMhupyIs8MSqtu,natori,spotify:album:6gSQqLEZ8GyWUOytxHUpJQ,フライデー・ナイト,spotify:artist:6WmXWHmfBMhupyIs8MSqtu,natori,3/31/2023,https://i.scdn.co/image/ab67616d0000b27306f4831110130abc335f8452,1,1,175367,https://p.scdn.co/mp3-preview/7edc5bc284ab223dd3a511ebb5c0de75085914ce?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,JPU902300868,spotify:user:,2023-04-06T09:41:34Z,0.633,0.713,5,-5.467,0,0.105,0.236,0,0.433,0.927,82.08,4,JP
spotify:track:0DygiZzrBa3T4DaOEQSMrf,アルジャーノン,spotify:artist:4UK2Lzi6fBfUi9rpDt6cik,Yorushika,spotify:album:4LBtT0FZ3JMjbklNwnW0Ms,幻燈,spotify:artist:4UK2Lzi6fBfUi9rpDt6cik,Yorushika,4/5/2023,https://i.scdn.co/image/ab67616d0000b2733d6880324dfcb032875f9865,1,9,252786,https://p.scdn.co/mp3-preview/86c24fd43c4bbac07e9914cf8057cad4762e6b8d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,23,JPPO02205087,spotify:user:,2023-04-06T09:41:34Z,0.663,0.467,0,-8.549,1,0.0317,0.844,0.00000372,0.102,0.449,143.974,4,JP
spotify:track:4kPlQKwtPrnqLgrmmKFSlA,ドライフラワー,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,Yuuri,spotify:album:1YWoHzj5wHnG7m6gLlwBQd,壱,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,Yuuri,1/12/2022,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,1,2,286360,https://p.scdn.co/mp3-preview/2b470a0e4d851e6b912dd42889acda92d73e7d34?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,JPU902002405,spotify:user:,2023-04-06T09:41:34Z,0.463,0.603,7,-5.464,1,0.0276,0.495,0,0.167,0.477,148.089,4,JP
spotify:track:5W7Y92LB4jWvu9NeEQ0GZl,なんでもないよ、,spotify:artist:1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,spotify:album:2pJn8hcJhOliBQipPHKsaz,ハッピーエンドへの期待は,spotify:artist:1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,1/12/2022,https://i.scdn.co/image/ab67616d0000b2733bd4368fd67b77f029f4d2a4,1,12,219252,https://p.scdn.co/mp3-preview/d4a38bb7f513b77661ad0b899a2a08417395cf79?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,JPTF02128201,spotify:user:,2023-04-06T09:41:34Z,0.598,0.511,4,-6.015,1,0.0423,0.245,0,0.0732,0.652,171.845,4,JP
spotify:track:3kjByZ9bCHIxJR3nYofZEm,星月夜,spotify:artist:1mnAFQLFTaUbccNqvK5pqX,YU-KA,spotify:album:5D5juwsPcrKPBrN6IIITIJ,星月夜,spotify:artist:1mnAFQLFTaUbccNqvK5pqX,YU-KA,2/8/2023,https://i.scdn.co/image/ab67616d0000b273928f9e109e056c5f4d00036b,1,1,265714,https://p.scdn.co/mp3-preview/7af5bd99a840c2fda9b7bc9465ee1ef2567610bd?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,JPPO02300081,spotify:user:,2023-04-06T09:41:34Z,0.339,0.49,9,-8.431,1,0.0505,0.278,0.000037,0.0661,0.0706,84.385,4,JP
spotify:track:1VHL1PIkhDwWbFc65xHwOr,愛とか恋とか,spotify:artist:0jWCX6zp4RjWrmZRxJ2uri,Novelbright,spotify:album:12cXi1i1cgTVe27Rb122kZ,Assort,spotify:artist:0jWCX6zp4RjWrmZRxJ2uri,Novelbright,5/16/2022,https://i.scdn.co/image/ab67616d0000b2737b5dacdec4e8cc4ce9b93665,1,5,232453,https://p.scdn.co/mp3-preview/fc41f2a2d425b204d55538ac73f707f17535d670?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,JPPO02201073,spotify:user:,2023-04-06T09:41:34Z,0.697,0.556,6,-5.089,1,0.0364,0.698,0,0.0991,0.404,89.987,4,JP
